机会名称,机会类型,机会类型分组,主办方,议题标签,主题分区,相关度,截止日期,会议日期,地点/线上,原网页链接,申请/投稿链接,参加条件,费用,是否有资助,资助说明链接,需要准备的材料,岗位类型,岗位职能,排除原因,行动优先级,状态,备注
World Bank Group Youth Summit,青年论坛,青年项目,World Bank Group,发展;可持续发展;青年参与;国际组织,全球治理/国际组织,高,待核查,待核查,线上/线下待核查,https://www.worldbank.org/en/events,https://www.worldbank.org/en/events,青年申请者;具体年龄待核查,待核查,待核查,待核查,申请表;个人陈述;待核查,,待核查,,中高,长期关注,世界银行青年项目需要周期性跟踪开放时间
IMF World Bank Annual Meetings,国际组织年会,会议,IMF and World Bank Group,国际金融;债务;发展融资;全球治理,国际金融/债务,高,待核查,待核查,线下/混合,https://meetings.imf.org/en/2026/Annual,https://meetings.imf.org/en/2026/Annual,参会资格和注册类别待核查,待核查,待核查,待核查,注册材料;身份说明;待核查,,待核查,,中高,长期关注,年会相关边会和青年参与信息需要及时监测
UN ECOSOC Youth Forum,青年论坛,青年项目,United Nations ECOSOC,可持续发展;全球治理;青年参与;国际组织,全球治理/国际组织,高,待核查,待核查,纽约/线上待核查,https://ecosoc.un.org/en/what-we-do/ecosoc-youth-forum,https://ecosoc.un.org/en/what-we-do/ecosoc-youth-forum,青年代表;组织参与资格待核查,免费或待核查,待核查,待核查,报名表;组织背景;待核查,,待核查,,中高,长期关注,与联合国青年参与和可持续发展高度相关
OECD Youthwise,青年项目,青年项目,OECD,发展;不平等;AI治理;公共政策,AI治理,高,待核查,待核查,线上/线下待核查,https://www.oecd.org/about/civil-society/youthwise/,https://www.oecd.org/about/civil-society/youthwise/,青年申请者;年龄条件待核查,免费或待核查,待核查,待核查,CV;申请陈述;待核查,,待核查,,中高,长期关注,OECD 青年咨询机制适合长期关注
UNU WIDER Visiting PhD Fellowship,Fellowship,Fellowship,UNU-WIDER,发展;不平等;发展经济学;全球治理,发展/不平等,高,待核查,待核查,芬兰赫尔辛基,https://www.wider.unu.edu/opportunity,https://www.wider.unu.edu/opportunity,博士生;发展研究相关背景,待核查,是,https://www.wider.unu.edu/opportunity,CV;研究计划;推荐信,,研究支持,,中高,长期关注,发展和不平等方向 fellowship 样例
ODI Fellowship Scheme,Fellowship,Fellowship,ODI Global,发展;公共政策;国际组织;经济治理,发展/不平等,高,待核查,待核查,多国岗位,https://odi.org/en/about/our-work/odi-fellowship-scheme/,https://odi.org/en/about/our-work/odi-fellowship-scheme/,研究生或早期职业;经济和公共政策背景,待核查,是,https://odi.org/en/about/our-work/odi-fellowship-scheme/,CV;申请表;推荐信,,政策研究,,中高,长期关注,发展政策类 fellowship 需要重点监测
Yenching Global Symposium,青年论坛,青年项目,Yenching Academy of Peking University,全球治理;发展;青年参与;国际关系,国际关系/政治学,中,待核查,待核查,北京,https://yenchingsymposium.org/,https://yenchingsymposium.org/,青年学者或学生;资格待核查,待核查,待核查,待核查,申请表;短文;CV,,待核查,,中,长期关注,议题每年变化但常与全球治理相关
ISA Annual Convention Call for Proposals,学术年会/CFP,学术论坛/CFP,International Studies Association,国际关系;全球治理;国际组织;政治学,国际关系/政治学,高,待核查,待核查,线下,https://www.isanet.org/Conferences,https://www.isanet.org/Conferences,学者;研究生;论文摘要投稿者,注册费待核查,待核查,https://www.isanet.org/Conferences,CV;论文摘要;panel 信息,,研究支持,,中高,长期关注,国际关系领域核心 CFP 来源
APSA Annual Meeting Call for Proposals,学术年会/CFP,学术论坛/CFP,American Political Science Association,政治学;不平等;AI治理;全球治理,国际关系/政治学,中,待核查,待核查,线下,https://connect.apsanet.org/apsa2026/,https://connect.apsanet.org/apsa2026/,政治学研究者;研究生可投稿,注册费待核查,待核查,https://connect.apsanet.org/apsa2026/,论文摘要;个人信息;panel 信息,,研究支持,,中,长期关注,政治学主流会议但需筛选相关分组
EISA Pan-European Conference,学术年会/CFP,学术论坛/CFP,European International Studies Association,国际关系;全球治理;欧洲研究,国际关系/政治学,高,待核查,待核查,欧洲线下,https://eisa-net.org/pec/,https://eisa-net.org/pec/,国际关系学者;研究生可投稿,注册费待核查,待核查,https://eisa-net.org/pec/,论文摘要;panel 信息,,研究支持,,中高,长期关注,国际关系和全球治理相关度较高
